Source Current = 1e-05A, Gate Voltage = -0.2V, Measurement Time = 2000s, Measurement interval = 1s 
Time [s],Source Voltage [V],Gate Current [A],Gate Voltage [V]
348,0.0367498,-1.69277e-07,-0.2
349,0.036757,-1.91927e-07,-0.2
350,0.036757,-1.4782e-07,-0.2
351,0.0367522,-1.50204e-07,-0.2
352,0.0367618,-1.13249e-07,-0.2
353,0.0367761,-1.22786e-07,-0.2
354,0.0367785,-8.10623e-08,-0.2
355,0.0367641,-7.62939e-08,-0.2
356,0.0367475,-1.63317e-07,-0.2
357,0.0367618,-9.65595e-08,-0.2
358,0.0367689,-1.34706e-07,-0.2
359,0.0367713,-1.41859e-07,-0.2
360,0.0367737,-1.35899e-07,-0.2
361,0.0367451,-1.21593e-07,-0.2
362,0.0367546,-1.34706e-07,-0.2
363,0.0367284,-1.57356e-07,-0.2
364,0.0367427,-1.77622e-07,-0.2
365,0.0367498,-1.3113e-07,-0.2
366,0.0367618,-1.27554e-07,-0.2
367,0.0367522,-1.14441e-07,-0.2
368,0.0367713,-1.26362e-07,-0.2
369,0.0367641,-1.2517e-07,-0.2
370,0.0367522,-1.51396e-07,-0.2
371,0.0367308,-7.7486e-08,-0.2
372,0.0367594,-1.39475e-07,-0.2
373,0.0367785,-1.14441e-07,-0.2
374,0.0367522,-8.82149e-08,-0.2
375,0.0367522,-1.20401e-07,-0.2
376,0.036757,-9.05991e-08,-0.2
377,0.0367594,-9.65595e-08,-0.2
378,0.0367594,-1.13249e-07,-0.2
379,0.0367451,-1.2517e-07,-0.2
380,0.0367498,-1.45435e-07,-0.2
381,0.0367236,-1.15633e-07,-0.2
382,0.0367212,-1.27554e-07,-0.2
383,0.0367236,-1.01328e-07,-0.2
384,0.0367188,-6.19888e-08,-0.2
385,0.0367332,-6.67572e-08,-0.2
386,0.0367284,-1.18017e-07,-0.2
387,0.0367284,-1.23978e-07,-0.2
388,0.036726,-1.4782e-07,-0.2
389,0.0367236,-1.18017e-07,-0.2
390,0.0367284,-1.34706e-07,-0.2
391,0.0367165,-8.58307e-08,-0.2
392,0.0367117,-1.10865e-07,-0.2
393,0.0367093,-1.32322e-07,-0.2
394,0.0367188,-1.27554e-07,-0.2
395,0.036695,-1.41859e-07,-0.2
396,0.0367022,-1.15633e-07,-0.2
397,0.0366783,-6.19888e-08,-0.2
398,0.0367045,-9.41753e-08,-0.2
399,0.0367141,-1.28746e-07,-0.2
400,0.0367093,-1.16825e-07,-0.2
401,0.0367165,-6.4373e-08,-0.2
402,0.0367427,-1.12057e-07,-0.2
403,0.0367212,-1.07288e-07,-0.2
404,0.0367188,-9.89437e-08,-0.2
405,0.0366879,-1.21593e-07,-0.2
406,0.0367141,-1.23978e-07,-0.2
407,0.0367093,-1.69277e-07,-0.2
408,0.0366926,-1.13249e-07,-0.2
409,0.0367117,-9.29832e-08,-0.2
410,0.0367141,-1.10865e-07,-0.2
411,0.0367093,-1.21593e-07,-0.2
412,0.0366998,-1.20401e-07,-0.2
413,0.0367022,-6.67572e-08,-0.2
414,0.0367165,-1.85966e-07,-0.2
415,0.0366998,-1.77622e-07,-0.2
416,0.0366902,-2.34842e-07,-0.2
417,0.0366879,-1.51396e-07,-0.2
418,0.0366759,-1.16825e-07,-0.2
419,0.0366735,-1.39475e-07,-0.2
420,0.0366926,-1.26362e-07,-0.2
421,0.0366735,-1.19209e-07,-0.2
422,0.0366688,-9.05991e-08,-0.2
423,0.0366592,-1.01328e-07,-0.2
424,0.0366616,-1.14441e-07,-0.2
425,0.0366664,-1.12057e-07,-0.2
426,0.0366712,-1.60933e-07,-0.2
427,0.0367022,-1.89543e-07,-0.2
428,0.0366521,-1.60933e-07,-0.2
429,0.0366521,-1.50204e-07,-0.2
430,0.0366616,-1.68085e-07,-0.2
431,0.0366712,-1.0848e-07,-0.2
432,0.0366712,-1.66893e-07,-0.2
433,0.0366879,-1.21593e-07,-0.2
434,0.0366783,-1.89543e-07,-0.2
435,0.0366664,-1.3113e-07,-0.2
436,0.0366783,-1.58548e-07,-0.2
437,0.0366712,-1.5378e-07,-0.2
438,0.0366664,-2.21729e-07,-0.2
439,0.0366664,-1.66893e-07,-0.2
440,0.0366616,-1.90735e-07,-0.2
441,0.0366783,-2.32458e-07,-0.2
442,0.0366712,-1.97887e-07,-0.2
443,0.0366521,-1.8239e-07,-0.2
444,0.0366569,-1.68085e-07,-0.2
445,0.0366592,-1.95503e-07,-0.2
446,0.0366879,-1.58548e-07,-0.2
447,0.036664,-1.12057e-07,-0.2
448,0.0366521,-1.60933e-07,-0.2
449,0.0366664,-1.20401e-07,-0.2
450,0.0366449,-1.27554e-07,-0.2
451,0.036664,-1.41859e-07,-0.2
452,0.0366592,-1.65701e-07,-0.2
453,0.0366807,-1.09673e-07,-0.2
454,0.036664,-1.96695e-07,-0.2
455,0.0366449,-1.15633e-07,-0.2
456,0.0366592,-1.33514e-07,-0.2
457,0.0366569,-1.04904e-07,-0.2
458,0.0366688,-1.3113e-07,-0.2
459,0.0366712,-1.89543e-07,-0.2
460,0.0366616,-1.16825e-07,-0.2
461,0.0366449,-1.50204e-07,-0.2
462,0.0366259,-1.39475e-07,-0.2
463,0.0366616,-1.81198e-07,-0.2
464,0.0366521,-1.4782e-07,-0.2
465,0.0366521,-1.88351e-07,-0.2
466,0.0366449,-1.66893e-07,-0.2
467,0.0366569,-1.7643e-07,-0.2
468,0.036664,-1.68085e-07,-0.2
469,0.0366783,-1.65701e-07,-0.2
470,0.0366449,-1.57356e-07,-0.2
471,0.036664,-2.14577e-07,-0.2
472,0.0366402,-2.13385e-07,-0.2
473,0.0366426,-1.74046e-07,-0.2
474,0.0366402,-1.57356e-07,-0.2
475,0.0366545,-1.88351e-07,-0.2
476,0.0366664,-1.0848e-07,-0.2
477,0.0366688,-2.18153e-07,-0.2
478,0.0366378,-1.37091e-07,-0.2
479,0.0366139,-1.46627e-07,-0.2
480,0.0366378,-1.93119e-07,-0.2
481,0.0366092,-2.24113e-07,-0.2
482,0.0366354,-2.0504e-07,-0.2
483,0.0366402,-1.89543e-07,-0.2
484,0.0366402,-1.2517e-07,-0.2
485,0.0366402,-1.50204e-07,-0.2
486,0.036633,-2.09808e-07,-0.2
487,0.0366426,-1.72853e-07,-0.2
488,0.0366092,-2.06232e-07,-0.2
489,0.0366044,-1.93119e-07,-0.2
490,0.0366139,-1.88351e-07,-0.2
491,0.0366044,-1.46627e-07,-0.2
492,0.0366163,-1.62125e-07,-0.2
493,0.0366068,-1.68085e-07,-0.2
494,0.0366163,-1.78814e-07,-0.2
495,0.0366139,-2.22921e-07,-0.2
496,0.0366187,-1.35899e-07,-0.2
497,0.036633,-1.52588e-07,-0.2
498,0.0366187,-1.8239e-07,-0.2
499,0.0366354,-1.37091e-07,-0.2
500,0.0366282,-2.11e-07,-0.2
501,0.036633,-1.35899e-07,-0.2
502,0.0366235,-1.26362e-07,-0.2
503,0.0366139,-1.57356e-07,-0.2
504,0.0366235,-1.78814e-07,-0.2
505,0.0366211,-2.21729e-07,-0.2
506,0.0366211,-2.03848e-07,-0.2
507,0.036602,-1.63317e-07,-0.2
508,0.0366187,-2.00272e-07,-0.2
509,0.0365853,-1.84774e-07,-0.2
